Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.
They said, "O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us."	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.
Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे
We should go to a hospital.	हम एक अस्पताल जाना चाहिए।
I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।
Do they say: "He has forged a lie against Allah?" If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है
No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।
It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी
And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।
And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं
And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.
The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।
What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं
Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है
And pray: "O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."	और कहो, "मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"
There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है
An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।
Can nothing be done? !	कुछ भी नहीं किया जा सकता है?
- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?
I don't know.	मैं नहीं जानता.
No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?
If you ask them, 'Who created the heavens and the earth?' they will surely say, 'Allah.' Say, 'Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?' Say, 'Allah is sufficient for me. In Him let all the trusting put their trust.'	यदि तुम उनसे पूछो कि "आकाशों और धरती को किसने पैदा किया?" को वे अवश्य कहेंगे, "अल्लाह ने।" कहो, "तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?" कह दो, "मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"
So when her husband saw his shirt torn from the back, he said, "Indeed, it is of the women's plan. Indeed, your plan is great.	फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, "यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है
Thanks. I think.	शुक्रिया, मेरे खयाल से।
Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.
I've seen pushing carts around army camps making grand claims about jars full of pig shit...	मैं सेना शिविरों के आसपास गाड़ियां धक्का देखा है सुअर गंदगी से भरा जार के बारे में भव्य दावा कर ...
You are in Cape Canaveral and you are Head of Mission Control.	आप केप केनवरल में हैं और आप मिशन कंट्रोल के प्रमुख हैं.
It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.	अपने रब की अनुमति से वह हर समय अपना फल दे रहा हो। अल्लाह तो लोगों के लिए मिशालें पेश करता है, ताकि वे जाग्रत हों
All that is in the heavens and the earth glorify God. He is Majestic and All-wise.	जो जो चीज़ सारे आसमान व ज़मीन में है सब ख़ुदा की तसबीह करती है और वही ग़ालिब हिकमत वाला है
But to your Lord is the return.	निश्चय ही तुम्हारे रब ही की ओर पलटना है
And say: We (now) believe therein. But how can they reach (faith) from afar off,	और कहेंगे, "हम उसपर ईमान ले आए।" हालाँकि उनके लिए कहाँ सम्भव है कि इतने दूरस्थ स्थान से उसको पास सकें
He will send down abundant rain from the sky for you,	(और) तुम पर आसमान से मूसलाधार पानी बरसाएगा
I've tried thinking and reading about all sorts of different things.	मैंने बहुत-सी चीज़ों के बारे में सोचने और पढ़ने की कोशिश की है.
The event could not be deleted due to an error: %s	एक त्रुटि के कारण कार्यक्रम विलोपित नहीं किया जा सका: %s
The past three have seen hundreds of new blogs and forums.	पिछले तीन वर्षों में सैकड़ों नए ब्लॉग और फ़ोरम बने हैं.
The door was open, and he saw this crazy woman in the bathtub.	दरवाजा खुला था, और उसने बाथ टब में उस पागल औरत को देखा.
And I don't want to work with you.	और मैं तुम्हारे साथ काम करने के लिए नहीं करना चाहती.
Let me hear a massive cheer for getting Climate Camp 2009 started!	मुझे ज़ोर से हर्षध्वनी सुनाई देनी चाहिए, क्लाइमेट कैम्प 2009 को आरम्भ करने के लिए
Open the selected image with a different application	चयनित छवि भिन्न अनुप्रयोग से खोलें
Your creation and your upraising are as but as a single soul. God is All-hearing, All-seeing.	तुम सबका पैदा करना और फिर (मरने के बाद) जिला उठाना एक शख्स के (पैदा करने और जिला उठाने के) बराबर है बेशक ख़ुदा (तुम सब की) सुनता और सब कुछ देख रहा है
If Hasan Khan's security has been compromised, then it is a very serious matter.	अगर हसन खान की सुरक्षा के साथ समझौता किया गया है तो यह बहुत गंभीर बात है।
Hello, my name is Dick Hallorann.	नमस्ते, मेरा नाम डिक हैलोरन है.
We are the best Knower of that which they say, and thou art not over them over them tyrant. Wherefore admonish thou by the Qur'an him who feareth My threat.	हम जानते है जो कुछ वे कहते है, तुम उनपर कोई ज़बरदस्ती करनेवाले तो हो नहीं। अतः तुम क़ुरआन के द्वारा उसे नसीहत करो जो हमारी चेतावनी से डरे
After that, surely, you will die.	फिर तुम अवश्य मरनेवाले हो
[man speaking native language]	[पुरुष अपनी मातृभाषा में बोल रहा है]
Do they wait for any thing but the Hour (of change), that it may come upon them suddenly? Its signs have already appeared. How then will they be warned when it has come upon them?	तो क्या ये लोग बस क़यामत ही के मुनतज़िर हैं कि उन पर एक बारगी आ जाए तो उसकी निशानियाँ आ चुकी हैं तो जिस वक्त क़यामत उन (के सर) पर आ पहुँचेगी फिर उन्हें नसीहत कहाँ मुफीद हो सकती है
Start date invalid.	आरंभिक तारीख अवैध है.
It's not a rat!	यह एक चूहा नहीं है!
